Tive report. Generated on 9/3/2024 2:46:07 PM (GMT -04:00),,,,,,,,
Click here for header definitions. https://support.tive.com/hc/en/articles/14008997114003,,,,,,,,
ShipmentName,DeviceName,Time,Timezone,Latitude,Longitude,LocationAddress,LocationOrigin,Temperature
1D494503000870-2,1D494503000870,9/3/2024 1:55:11 AM,(GMT -04:00),,,,,26.92
1D494503000870-2,1D494503000870,9/3/2024 2:25:19 AM,(GMT -04:00),,,,,24.71
1D494503000870-2,1D494503000870,9/3/2024 2:55:28 AM,(GMT -04:00),,,,,23.72
1D494503000870-2,1D494503000870,9/3/2024 3:25:36 AM,(GMT -04:00),,,,,22.99
1D494503000870-2,1D494503000870,9/3/2024 3:55:45 AM,(GMT -04:00),,,,,22.51
1D494503000870-2,1D494503000870,9/3/2024 4:25:53 AM,(GMT -04:00),,,,,22.26
1D494503000870-2,1D494503000870,9/3/2024 4:56:01 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 5:26:10 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 5:56:18 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 6:26:27 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 6:56:35 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 7:26:44 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 7:56:52 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 8:27:01 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 8:57:09 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 9:27:18 AM,(GMT -04:00),,,,,22.01
1D494503000870-2,1D494503000870,9/3/2024 9:57:26 AM,(GMT -04:00),,,,,22.26
1D494503000870-2,1D494503000870,9/3/2024 10:27:34 AM,(GMT -04:00),,,,,22.26
1D494503000870-2,1D494503000870,9/3/2024 10:57:43 AM,(GMT -04:00),,,,,23.24
1D494503000870-2,1D494503000870,9/3/2024 11:27:51 AM,(GMT -04:00),,,,,22.26
1D494503000870-2,1D494503000870,9/3/2024 11:58:00 AM,(GMT -04:00),,,,,22.51
1D494503000870-2,1D494503000870,9/3/2024 12:28:08 PM,(GMT -04:00),,,,,22.74
1D494503000870-2,1D494503000870,9/3/2024 12:58:17 PM,(GMT -04:00),,,,,23.24
1D494503000870-2,1D494503000870,9/3/2024 1:28:25 PM,(GMT -04:00),,,,,32.6
1D494503000870-2,1D494503000870,9/3/2024 1:44:09 PM,(GMT -04:00),43.48079,-80.52655,"340 Spruce St, Waterloo, ON N2L 3M7, Canada",gps,
1D494503000870-2,1D494503000870,9/3/2024 1:58:34 PM,(GMT -04:00),,,,,23.49
1D494503000870-2,1D494503000870,9/3/2024 2:15:09 PM,(GMT -04:00),43.48173,-80.52625,"359 King St N, Waterloo, ON N2J 2Z1, Canada",gps,
1D494503000870-2,1D494503000870,9/3/2024 2:30:21 PM,(GMT -04:00),,,,,24.96
1D494503000870-2,1D494503000870,9/3/2024 2:39:28 PM,(GMT -04:00),43.47067,-80.53953,"CPH 1346,University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",gps,
